configuration_id,task_id,audit_snapshot,audit_outcome,axioms,axiom_list_complete
forall_opus_xhigh,4,retained_rescore,clean,,False
forall_opus_xhigh,5,retained_rescore,clean,,False
forall_opus_xhigh,14,retained_rescore,clean,,False
forall_opus_xhigh,15,retained_rescore,clean,,False
forall_opus_xhigh,29,retained_rescore,clean,,False
forall_opus_xhigh,121,retained_rescore,clean,,False
forall_opus_xhigh,122,retained_rescore,clean,,False
forall_opus_xhigh,123,retained_rescore,clean,,False
forall_opus_xhigh,124,retained_rescore,clean,,False
forall_opus_xhigh,125,retained_rescore,clean,,False
forall_opus_xhigh,126,retained_rescore,clean,,False
forall_opus_xhigh,127,retained_rescore,clean,,False
forall_opus_xhigh,128,retained_rescore,clean,,False
forall_opus_xhigh,129,retained_rescore,clean,,False
forall_opus_xhigh,131,retained_rescore,clean,,False
forall_opus_xhigh,132,retained_rescore,clean,,False
forall_opus_xhigh,133,retained_rescore,clean,,False
forall_opus_xhigh,134,retained_rescore,clean,,False
forall_opus_xhigh,135,retained_rescore,clean,,False
forall_opus_xhigh,136,retained_rescore,clean,,False
forall_opus_xhigh,137,retained_rescore,clean,,False
forall_opus_xhigh,138,retained_rescore,clean,,False
forall_opus_xhigh,139,retained_rescore,clean,,False
forall_opus_xhigh,140,retained_rescore,clean,,False
forall_opus_xhigh,141,retained_rescore,clean,,False
forall_opus_xhigh,142,retained_rescore,clean,,False
forall_opus_xhigh,143,retained_rescore,clean,,False
forall_opus_xhigh,144,retained_rescore,clean,,False
forall_opus_xhigh,145,retained_rescore,clean,,False
forall_opus_xhigh,146,retained_rescore,clean,,False
forall_opus_xhigh,147,retained_rescore,clean,,False
forall_opus_xhigh,148,retained_rescore,clean,,False
forall_opus_xhigh,150,retained_rescore,clean,,False
forall_opus_xhigh,152,retained_rescore,clean,,False
forall_opus_xhigh,153,retained_rescore,clean,,False
forall_opus_xhigh,154,retained_rescore,clean,,False
forall_opus_xhigh,155,retained_rescore,clean,,False
forall_opus_xhigh,156,retained_rescore,clean,,False
forall_opus_xhigh,157,retained_rescore,clean,,False
forall_opus_xhigh,158,retained_rescore,clean,,False
forall_opus_xhigh,159,retained_rescore,clean,,False
forall_opus_xhigh,160,retained_rescore,clean,,False
