task_id,repository
4,ArkLib
5,ArkLib
14,ArkLib
15,ArkLib
29,ArkLib
121,clean
122,clean
123,clean
124,clean
125,clean
126,clean
127,clean
128,clean
129,clean
131,clean
132,clean
133,clean
134,clean
135,clean
136,clean
137,clean
138,clean
139,clean
140,clean
141,clean
142,clean
143,clean
144,clean
145,clean
146,clean
147,clean
148,clean
149,clean
150,clean
152,clean
153,clean
154,clean
155,clean
156,clean
157,clean
158,clean
159,clean
160,clean
161,clean
163,clean
164,clean
165,clean
168,clean
169,clean
171,clean
176,clean
178,clean
194,loom
222,iris-lean
245,juvix-lean
246,juvix-lean
247,juvix-lean
249,juvix-lean
250,juvix-lean
265,LeanExprEvaluator
266,LeanExprEvaluator
268,LeanExprEvaluator
271,lean-formal-reasoning-program
272,lean-formal-reasoning-program
273,lean-formal-reasoning-program
274,lean-formal-reasoning-program
275,lean-formal-reasoning-program
277,lean-formal-reasoning-program
281,lean-formal-reasoning-program
356,LeroyCompilerVerificationCourse
357,LeroyCompilerVerificationCourse
359,LeroyCompilerVerificationCourse
361,LeroyCompilerVerificationCourse
378,loom
381,loom
392,loom
396,pcf-lean
444,loom
445,VCV-io
446,VCV-io
447,VCV-io
450,VCV-io
451,VCV-io
452,VCV-io
453,VCV-io
454,VCV-io
455,VCV-io
456,VCV-io
457,VCV-io
458,VCV-io
459,VCV-io
460,VCV-io
462,VCV-io
466,VCV-io
467,VCV-io
468,veil
469,veil
471,veil
472,veil
473,veil
